LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,VARIANCE_NEAR_DIST,MEDIAN_NEAR_DIST
E01004844,0.073886729,0.028851488,0.113484902,0.001304039,0.076605263
E01004845,0.136900694,0.08757581,0.211844657,0.003040466,0.124091155
E01004846,0.065623651,0.023521973,0.125815209,0.002374205,0.056578712
E01004847,0.087387703,0.008290388,0.166224687,0.004196817,0.087517869
E01004848,0.087466981,0.017158069,0.11469708,0.002213502,0.109006388
E01004849,0.045774216,0.02628038,0.074833161,0.000431267,0.040991661
E01004850,0.106449139,0.014432897,0.225527731,0.007778097,0.092917964
E01004851,0.063031267,0.037508058,0.122564538,0.001605374,0.046026236
E01004852,0.059593076,0.043635649,0.083830214,0.000320013,0.055453221
E01004853,0.13881126,0.055655135,0.248437091,0.008691568,0.125576407
E01004854,0.055812291,0.016154934,0.093043433,0.001180284,0.057025398
E01004855,0.390281006,0.310836152,0.557846917,0.012791855,0.346220478
E01004856,0.097423106,0.06486397,0.143928127,0.001378849,0.090450164
E01004857,0.043403864,0.024959615,0.050715106,0.000153026,0.048970367
E01004858,0.060193071,0.02119178,0.100246376,0.001074187,0.059667064
E01004859,0.065967638,0.005639711,0.174260888,0.005585186,0.041984976
E01004860,0.094900039,0.049808241,0.148761217,0.001789946,0.090515348
E01004861,0.074769298,0.032388484,0.171689078,0.004230221,0.047499814
E01004862,0.089975171,0.054329022,0.127448119,0.000907372,0.089061771
E01004863,0.038529632,0.018279368,0.052705275,0.000230521,0.041566943
E01004864,0.089610957,0.014369641,0.13160938,0.002717249,0.106232404
E01004865,0.098094648,0.018958955,0.226942522,0.008209971,0.073238558
E01004866,0.073841924,0.055191205,0.098581807,0.000361658,0.070797342
E01004867,0.09993284,0.022020658,0.224989037,0.009038858,0.076360832
E01004868,0.16827082,0.04668823,0.248546951,0.007420615,0.18892405
E01004869,0.165301622,0.054049935,0.278074846,0.008435682,0.164540854
E01004870,0.132650008,0.101163406,0.192611723,0.001672359,0.118412452
E01004871,0.095305717,0.079105042,0.107672733,0.000141303,0.097222546
E01004872,0.092968598,0.022192322,0.157820082,0.003366054,0.095930995
E01004873,0.07894594,0.029825583,0.130370684,0.001694348,0.077793747
E01004874,0.067466955,0.036932968,0.128104525,0.001723338,0.052415163
E01004875,0.116075778,0.071173265,0.172956462,0.001977661,0.110086693
E01004876,0.137977467,0.01878807,0.307782688,0.017391434,0.112669555
E01004877,0.11102106,0.055093739,0.15912751,0.002563455,0.114931496
E01004878,0.076374267,0.049630099,0.113473553,0.000751857,0.071196708
E01004879,0.100723249,0.081636411,0.130788117,0.000452245,0.095234235
E01004880,0.05206944,0.005582692,0.099677069,0.001676953,0.051509
E01004881,0.064649312,0.018456797,0.128018348,0.002248461,0.056061052
E01004882,0.076178712,0.016736881,0.127031489,0.002174768,0.080473239
E01004883,0.10474131,0.014215499,0.296495528,0.016979422,0.054127107
E01004884,0.415223795,0.134127329,1.176806473,0.258155634,0.17498069
E01004885,0.137681909,0.060575672,0.207721874,0.004053078,0.141215045
E01004886,0.049519576,0.021360191,0.079818976,0.000880356,0.048449569
E01004887,0.142251224,0.054153179,0.23809724,0.006013314,0.138377239
E01004888,0.131938827,0.053208025,0.289177199,0.0119187,0.092685042
E01004889,0.053581211,0.015979691,0.08970083,0.001071206,0.054322161
E01004890,0.083088174,0.044038154,0.105137918,0.000769437,0.091588312
E01004891,0.118606657,0.06786106,0.171506655,0.001839898,0.117529456
E01004892,0.141860872,0.077211085,0.234131294,0.004358305,0.128050555
E01004893,0.310764889,0.125444078,0.598138576,0.052040521,0.259738452
E01004894,0.089606049,0.06008109,0.159802067,0.002211876,0.06927052
E01004895,0.052483562,0.041092239,0.065611184,0.000101206,0.051615412
E01004896,0.180347524,0.088229649,0.273687361,0.006712302,0.179736543
E01004897,0.16201114,0.082087349,0.227841669,0.00457388,0.16905777
E01004899,0.251674735,0.0339836,0.478021193,0.045331783,0.247347073
E01004900,0.128635689,0.028252842,0.285046456,0.012040574,0.100621729
E01004901,0.100128422,0.022039178,0.213042493,0.006668725,0.082716009
E01004902,0.11934053,0.011321333,0.403740589,0.036053863,0.0311501
E01004903,0.116122809,0.038503799,0.297164973,0.014717068,0.064411232
E01004904,0.213632428,0.138070118,0.379800986,0.012475957,0.168329304
E01004905,0.108056669,0.031242758,0.15680278,0.003295062,0.122090569
E01004906,0.115338719,0.048914267,0.217160105,0.005426496,0.097640251
E01004907,0.100496043,0.01891399,0.267425323,0.013433312,0.05782243
E01004908,0.136413836,0.054140177,0.347583417,0.019926547,0.071965876
E01004909,0.151676382,0.114929585,0.170218991,0.00064494,0.160778476
E01004910,0.204976564,0.069805463,0.374223053,0.017223358,0.187938871
E01004911,0.083585382,0.067738575,0.100618382,0.000223065,0.082992286
E01004912,0.152064798,0.067187787,0.182379721,0.003203887,0.179345842
E01004913,0.118076839,0.035817608,0.257169546,0.010569999,0.0896601
E01004914,0.108679344,0.056238984,0.225878983,0.006366626,0.076299704
E01004915,0.086548469,0.019701955,0.170419134,0.005567684,0.078036394
E01004916,0.066899428,0.040699138,0.12174086,0.001394068,0.052578857
E01004917,0.180830019,0.062075018,0.318730447,0.013139941,0.171257306
E01004918,0.065099247,0.005756209,0.11522134,0.0025057,0.069709719
E01004919,0.101209817,0.041488744,0.172490043,0.002919512,0.095430241
E01004920,0.065821573,0.027465948,0.103835914,0.000973929,0.065992216
E01004921,0.076212228,0.03628751,0.113970442,0.001010835,0.07729548
E01004922,0.060682413,0.027915367,0.107306502,0.001359943,0.053753892
E01004923,0.048538523,0.012483976,0.081556287,0.001009371,0.050056915
E01004924,0.612036811,0.066785696,2.059726574,0.936834876,0.160817486
E01004925,0.152938921,0.069994657,0.222212705,0.003926759,0.159774161
E01004926,0.054530961,0.028766636,0.113271004,0.00155345,0.038043101
E01004927,0.194577865,0.084419137,0.311794747,0.010850612,0.191048788
E01004928,0.037396799,0.008023435,0.05866855,0.000468797,0.041447605
E01004929,0.206620606,0.056295865,0.368226441,0.016807627,0.200980059
E01004930,0.098335519,0.058845667,0.179675667,0.003072116,0.07741037
E01004931,0.128219066,0.04778918,0.29962503,0.013331615,0.082731027
E01004932,0.104171308,0.026690466,0.164144827,0.003393695,0.112924968
E01004933,0.166089936,0.021100506,0.362848099,0.025209884,0.14020557
E01004934,0.15613718,0.07289718,0.199980014,0.003517688,0.175835763
E01004935,0.062216183,0.046316974,0.089407546,0.000355142,0.056570106
E01004936,0.105452715,0.044298948,0.223731753,0.006480543,0.076890079
E01004937,0.2275753,0.031323336,0.488838813,0.039550532,0.195069526
E01004938,0.119690686,0.063906018,0.24385732,0.006955862,0.085499702
E01004939,0.089534172,0.059244962,0.130270392,0.001037058,0.084310667
E01004940,0.091900011,0.052498637,0.147645521,0.001679304,0.083727943
E01004941,0.220228635,0.117557435,0.380156028,0.012653506,0.191600538
E01004942,0.096132322,0.062815819,0.182898088,0.003378069,0.069407691
E01004943,0.070319789,0.03227845,0.109023599,0.001290211,0.069988553
E01004944,0.094926129,0.062920205,0.130259128,0.000821743,0.093262591
E01004945,0.831846828,0.300234214,1.550868709,0.341636566,0.738142196
