LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,MEDIAN_NEAR_DIST,VARIANCE_NEAR_DIST
E01005814,0.803580252,0.717586596,1.021437586,0.737648414,0.021197158
E01005815,0.308415564,0.236053727,0.433137124,0.282235702,0.007473783
E01005816,0.672289231,0.628293252,0.726551304,0.667156183,0.001689414
E01005817,0.644037283,0.452992848,0.94436937,0.589393458,0.051613109
E01005818,1.90732843,1.791204681,2.091415604,1.873346718,0.01775027
E01005819,1.302195146,1.216561802,1.442051042,1.27508387,0.011540763
E01005820,1.133822347,0.960802495,1.369121061,1.102682916,0.031257976
E01005821,1.590252747,1.255753267,1.820640206,1.642308757,0.06078761
E01005822,0.227259836,0.129502455,0.305214737,0.237161076,0.005416682
E01005823,1.322169873,1.205832747,1.447872645,1.317487051,0.0098938
E01005824,1.215074732,1.064462299,1.327463469,1.234186579,0.01692842
E01005825,0.56586404,0.471075696,0.6427768,0.574801832,0.005716213
E01005826,1.383275968,1.131709362,1.581962122,1.409716195,0.035432509
E01005827,1.18199834,1.036000167,1.416020823,1.137986185,0.02735813
E01005828,1.292070191,1.270693212,1.304458126,1.296564714,0.000225426
E01005829,1.018644951,0.832240103,1.15615427,1.043092715,0.018968296
E01005830,0.534137447,0.4349563,0.587256083,0.557168702,0.004911414
E01005831,0.69424512,0.599499616,0.936831844,0.620324511,0.026404491
E01005832,1.84223153,1.534964095,2.234144036,1.799908995,0.083892819
E01005833,1.925310355,1.802830018,2.130112176,1.884149614,0.020634507
E01005834,0.902427145,0.749094666,1.164698962,0.847957476,0.036212346
E01005835,1.380228829,1.167413835,1.736767953,1.308366763,0.061890153
E01005836,0.639634863,0.453837352,0.847083,0.628809549,0.034277283
E01005837,1.375964145,1.178082657,1.708093404,1.30884026,0.053051124
E01005838,0.221121212,0.032397267,0.541399839,0.15534387,0.048963091
E01005839,1.229422781,1.075225471,1.472868381,1.184798636,0.029399785
E01005840,0.391984355,0.164056056,0.574488677,0.414696345,0.028883564
E01005841,0.809859222,0.67172724,0.938466497,0.814621576,0.017636184
E01005842,1.300082817,1.073805838,1.595447471,1.26553898,0.04957056
E01005843,1.848150681,1.770865665,1.886423601,1.867656729,0.002803688
E01005844,0.95438419,0.809919222,1.169396614,0.919110463,0.023293879
E01005845,0.384698251,0.126579999,0.593931493,0.409140755,0.037398884
E01005846,1.312321935,1.099612016,1.483507508,1.333084108,0.039806594
E01005847,0.940904485,0.875944048,1.006689673,0.940492109,0.004711272
E01005848,1.691152144,1.450664213,2.196630081,1.558657141,0.119404203
E01005849,0.33994059,0.174275711,0.610127867,0.287679391,0.043057361
E01005850,0.959691978,0.823268996,1.124810201,0.945344357,0.019286299
E01005851,0.736237685,0.535179194,1.088500346,0.6606356,0.065986397
E01005852,0.355241328,0.210787499,0.655521366,0.277328223,0.041077403
E01005853,1.476285894,1.359655218,1.522581917,1.511453219,0.006073222
E01005854,1.214554744,1.086781415,1.471144746,1.150146408,0.030154942
E01005855,1.164966603,1.144975812,1.21128037,1.151805116,0.000969392
E01005856,1.180400232,0.972610212,1.374482657,1.187254029,0.02723477
E01005857,1.541363006,1.237919564,1.716712114,1.605410174,0.045609265
E01005858,0.582381308,0.403993373,0.750463967,0.587533946,0.021818069
E01005859,0.492815229,0.341744924,0.716657506,0.456429243,0.029163691
